================================================================================
Fish Agent Video Analysis Score Log
Started: 2025-09-23 16:54:25
================================================================================
Timestamp           | Episode | Attempt | Size(MB) | Score  | Analysis(s)
2025-09-23 17:15:04 | Episode:    5 | Attempt: 1 | Size:   0.31MB | Score: 0.0003 | Analysis:   5.61s
2025-09-23 17:15:43 | Episode:    6 | Attempt: 1 | Size:   0.32MB | Score: 0.0004 | Analysis:   5.50s
2025-09-23 17:15:47 | Episode:    7 | Attempt: 1 | Size:   0.03MB | Score: 0.0002 | Analysis:   0.57s
2025-09-23 17:17:08 | Episode:    8 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.31s
2025-09-23 17:17:16 | Episode:    9 | Attempt: 1 | Size:   0.08MB | Score: 0.0002 | Analysis:   1.98s
2025-09-23 17:18:28 | Episode:   10 | Attempt: 1 | Size:   0.31MB | Score: 0.0002 | Analysis:   5.62s
2025-09-23 17:18:38 | Episode:   13 | Attempt: 1 | Size:   0.11MB | Score: 0.0004 | Analysis:   1.41s
2025-09-23 17:29:43 | Episode:    1 | Attempt: 1 | Size:   0.18MB | Score: 0.0001 | Analysis:   5.64s
2025-09-23 17:30:22 | Episode:    2 | Attempt: 1 | Size:   0.25MB | Score: 0.0002 | Analysis:   5.32s
2025-09-24 00:06:28 | Episode:    1 | Attempt: 1 | Size:   0.21MB | Score: 0.0001 | Analysis:   5.75s
2025-09-24 00:07:05 | Episode:    2 | Attempt: 1 | Size:   0.23MB | Score: 0.0001 | Analysis:   5.30s
2025-09-24 00:07:15 | Episode:    3 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.30s
2025-09-24 00:08:18 | Episode:    4 | Attempt: 1 | Size:   0.21MB | Score: 0.0001 | Analysis:   5.62s
2025-09-24 00:08:56 | Episode:    5 | Attempt: 1 | Size:   0.15MB | Score: 0.0001 | Analysis:   5.42s
2025-09-24 00:09:51 | Episode:    6 | Attempt: 1 | Size:   0.18MB | Score: 0.0001 | Analysis:   5.48s
2025-09-24 00:13:40 | Episode:    1 | Attempt: 1 | Size:   0.25MB | Score: 0.0002 | Analysis:   5.61s
2025-09-24 00:14:18 | Episode:    2 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.41s
2025-09-24 00:14:55 | Episode:    3 | Attempt: 1 | Size:   0.32MB | Score: 0.0005 | Analysis:   5.70s
2025-09-24 00:21:56 | Episode:    1 | Attempt: 1 | Size:   0.40MB | Score: 0.0003 | Analysis:   5.63s
2025-09-24 00:23:44 | Episode:    1 | Attempt: 1 | Size:   0.44MB | Score: 0.0004 | Analysis:   5.01s
2025-09-24 00:26:59 | Episode:    1 | Attempt: 1 | Size:   1.01MB | Score: 0.0037 | Analysis:   5.95s
2025-09-24 00:33:10 | Episode:    1 | Attempt: 1 | Size:   0.34MB | Score: 0.0002 | Analysis:   5.03s
2025-09-24 00:40:56 | Episode:    1 | Attempt: 1 | Size:   0.66MB | Score: 0.0008 | Analysis:   5.71s
2025-09-24 00:56:32 | Episode:    1 | Attempt: 1 | Size:   0.19MB | Score: 0.0001 | Analysis:   5.78s
2025-09-24 00:57:09 | Episode:    2 | Attempt: 1 | Size:   0.23MB | Score: 0.0001 | Analysis:   5.46s
2025-09-24 00:57:46 | Episode:    3 | Attempt: 1 | Size:   0.20MB | Score: 0.0001 | Analysis:   5.32s
2025-09-24 00:58:24 | Episode:    4 | Attempt: 1 | Size:   0.43MB | Score: 0.0004 | Analysis:   5.55s
2025-09-24 00:59:01 | Episode:    5 | Attempt: 1 | Size:   0.18MB | Score: 0.0001 | Analysis:   5.54s
2025-09-24 00:59:38 | Episode:    6 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.47s
2025-09-24 01:00:15 | Episode:    7 | Attempt: 1 | Size:   0.32MB | Score: 0.0003 | Analysis:   5.68s
2025-09-24 01:00:54 | Episode:    8 | Attempt: 1 | Size:   0.56MB | Score: 0.0009 | Analysis:   5.62s
2025-09-24 01:01:39 | Episode:    9 | Attempt: 1 | Size:   0.47MB | Score: 0.0005 | Analysis:   5.69s
2025-09-24 01:02:34 | Episode:   10 | Attempt: 1 | Size:   0.21MB | Score: 0.0001 | Analysis:   5.65s
2025-09-24 01:03:11 | Episode:   11 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.61s
2025-09-24 01:03:49 | Episode:   12 | Attempt: 1 | Size:   0.29MB | Score: 0.0004 | Analysis:   5.51s
2025-09-24 01:04:21 | Episode:   13 | Attempt: 1 | Size:   0.19MB | Score: 0.0001 | Analysis:   7.07s
2025-09-24 01:04:59 | Episode:   14 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.63s
2025-09-24 01:05:36 | Episode:   15 | Attempt: 1 | Size:   0.23MB | Score: 0.0001 | Analysis:   5.34s
2025-09-24 01:06:13 | Episode:   16 | Attempt: 1 | Size:   0.39MB | Score: 0.0004 | Analysis:   5.49s
2025-09-24 01:07:00 | Episode:   17 | Attempt: 1 | Size:   0.26MB | Score: 0.0002 | Analysis:   5.51s
2025-09-24 16:37:22 | Episode:    1 | Attempt: 1 | Size:   0.36MB | Score: 0.0005 | Analysis:   5.67s
2025-09-24 16:38:00 | Episode:    2 | Attempt: 1 | Size:   0.23MB | Score: 0.0001 | Analysis:   5.85s
2025-09-24 16:38:37 | Episode:    3 | Attempt: 1 | Size:   0.46MB | Score: 0.0005 | Analysis:   5.33s
2025-09-24 16:39:15 | Episode:    4 | Attempt: 1 | Size:   0.41MB | Score: 0.0007 | Analysis:   6.12s
2025-09-24 16:39:52 | Episode:    5 | Attempt: 1 | Size:   0.30MB | Score: 0.0002 | Analysis:   5.71s
2025-09-24 16:40:30 | Episode:    6 | Attempt: 1 | Size:   0.33MB | Score: 0.0003 | Analysis:   5.55s
2025-09-24 16:41:08 | Episode:    7 | Attempt: 1 | Size:   0.36MB | Score: 0.0003 | Analysis:   5.88s
2025-09-24 16:41:46 | Episode:    8 | Attempt: 1 | Size:   0.42MB | Score: 0.0004 | Analysis:   6.05s
2025-09-24 16:42:29 | Episode:    9 | Attempt: 1 | Size:   0.36MB | Score: 0.0003 | Analysis:   5.53s
2025-09-24 16:43:07 | Episode:   10 | Attempt: 1 | Size:   0.43MB | Score: 0.0004 | Analysis:   5.51s
2025-09-24 16:43:44 | Episode:   11 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.41s
2025-09-24 16:44:21 | Episode:   12 | Attempt: 1 | Size:   0.31MB | Score: 0.0002 | Analysis:   5.59s
2025-09-24 16:44:58 | Episode:   13 | Attempt: 1 | Size:   0.35MB | Score: 0.0003 | Analysis:   5.50s
2025-09-24 16:45:35 | Episode:   14 | Attempt: 1 | Size:   0.28MB | Score: 0.0002 | Analysis:   5.48s
2025-09-24 16:46:13 | Episode:   15 | Attempt: 1 | Size:   0.27MB | Score: 0.0001 | Analysis:   5.55s
2025-09-24 16:46:50 | Episode:   16 | Attempt: 1 | Size:   0.45MB | Score: 0.0004 | Analysis:   5.55s
2025-09-24 16:47:37 | Episode:   17 | Attempt: 1 | Size:   0.22MB | Score: 0.0002 | Analysis:   5.45s
2025-09-24 16:48:15 | Episode:   18 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.56s
2025-09-24 16:48:52 | Episode:   19 | Attempt: 1 | Size:   0.31MB | Score: 0.0002 | Analysis:   5.49s
2025-09-24 16:49:29 | Episode:   20 | Attempt: 1 | Size:   0.32MB | Score: 0.0002 | Analysis:   5.74s
2025-09-24 16:50:07 | Episode:   21 | Attempt: 1 | Size:   0.42MB | Score: 0.0006 | Analysis:   5.58s
2025-09-24 16:50:44 | Episode:   22 | Attempt: 1 | Size:   0.25MB | Score: 0.0001 | Analysis:   5.41s
2025-09-24 16:51:21 | Episode:   23 | Attempt: 1 | Size:   0.46MB | Score: 0.0007 | Analysis:   5.56s
2025-09-24 16:51:58 | Episode:   24 | Attempt: 1 | Size:   0.32MB | Score: 0.0002 | Analysis:   5.50s
2025-09-24 16:52:46 | Episode:   25 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.60s
2025-09-24 16:53:24 | Episode:   26 | Attempt: 1 | Size:   0.45MB | Score: 0.0006 | Analysis:   5.45s
2025-09-24 16:54:01 | Episode:   27 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.60s
2025-09-24 16:54:39 | Episode:   28 | Attempt: 1 | Size:   0.33MB | Score: 0.0003 | Analysis:   5.47s
2025-09-24 16:55:16 | Episode:   29 | Attempt: 1 | Size:   0.21MB | Score: 0.0001 | Analysis:   5.45s
2025-09-24 16:55:53 | Episode:   30 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.52s
2025-09-24 16:56:30 | Episode:   31 | Attempt: 1 | Size:   0.26MB | Score: 0.0002 | Analysis:   5.34s
2025-09-24 16:57:08 | Episode:   32 | Attempt: 1 | Size:   0.39MB | Score: 0.0003 | Analysis:   5.70s
2025-09-24 16:57:56 | Episode:   33 | Attempt: 1 | Size:   0.35MB | Score: 0.0003 | Analysis:   5.37s
2025-09-24 16:58:34 | Episode:   34 | Attempt: 1 | Size:   0.40MB | Score: 0.0004 | Analysis:   5.91s
2025-09-24 16:59:11 | Episode:   35 | Attempt: 1 | Size:   0.24MB | Score: 0.0002 | Analysis:   5.55s
2025-09-24 16:59:48 | Episode:   36 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.31s
2025-09-24 17:00:25 | Episode:   37 | Attempt: 1 | Size:   0.55MB | Score: 0.0008 | Analysis:   5.30s
2025-09-24 17:01:02 | Episode:   38 | Attempt: 1 | Size:   0.32MB | Score: 0.0003 | Analysis:   5.63s
2025-09-24 17:01:39 | Episode:   39 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.54s
2025-09-24 17:02:17 | Episode:   40 | Attempt: 1 | Size:   0.28MB | Score: 0.0002 | Analysis:   5.60s
2025-09-24 17:03:06 | Episode:   41 | Attempt: 1 | Size:   0.51MB | Score: 0.0007 | Analysis:   5.66s
2025-09-24 17:03:43 | Episode:   42 | Attempt: 1 | Size:   0.27MB | Score: 0.0001 | Analysis:   5.54s
2025-09-24 17:04:20 | Episode:   43 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.46s
2025-09-24 17:04:58 | Episode:   44 | Attempt: 1 | Size:   0.28MB | Score: 0.0002 | Analysis:   5.51s
2025-09-24 17:05:35 | Episode:   45 | Attempt: 1 | Size:   0.25MB | Score: 0.0002 | Analysis:   5.44s
2025-09-24 17:06:12 | Episode:   46 | Attempt: 1 | Size:   0.25MB | Score: 0.0002 | Analysis:   5.44s
2025-09-24 17:06:49 | Episode:   47 | Attempt: 1 | Size:   0.31MB | Score: 0.0002 | Analysis:   5.53s
2025-09-24 17:07:26 | Episode:   48 | Attempt: 1 | Size:   0.33MB | Score: 0.0002 | Analysis:   5.37s
2025-09-24 17:08:16 | Episode:   49 | Attempt: 1 | Size:   0.33MB | Score: 0.0003 | Analysis:   5.53s
2025-09-24 17:08:53 | Episode:   50 | Attempt: 1 | Size:   0.18MB | Score: 0.0001 | Analysis:   5.45s
2025-09-24 17:09:30 | Episode:   51 | Attempt: 1 | Size:   0.33MB | Score: 0.0003 | Analysis:   5.54s
2025-09-24 17:10:07 | Episode:   52 | Attempt: 1 | Size:   0.30MB | Score: 0.0002 | Analysis:   5.49s
2025-09-24 17:10:45 | Episode:   53 | Attempt: 1 | Size:   0.38MB | Score: 0.0003 | Analysis:   5.54s
2025-09-24 17:11:22 | Episode:   54 | Attempt: 1 | Size:   0.33MB | Score: 0.0003 | Analysis:   5.40s
2025-09-24 17:11:59 | Episode:   55 | Attempt: 1 | Size:   0.21MB | Score: 0.0001 | Analysis:   5.48s
2025-09-24 17:12:36 | Episode:   56 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.37s
2025-09-24 17:13:24 | Episode:   57 | Attempt: 1 | Size:   0.31MB | Score: 0.0002 | Analysis:   5.31s
2025-09-24 17:14:01 | Episode:   58 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.72s
2025-09-24 17:14:40 | Episode:   59 | Attempt: 1 | Size:   0.78MB | Score: 0.0019 | Analysis:   5.62s
2025-09-24 17:15:17 | Episode:   60 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.37s
2025-09-24 17:15:54 | Episode:   61 | Attempt: 1 | Size:   0.31MB | Score: 0.0002 | Analysis:   5.56s
2025-09-24 17:16:32 | Episode:   62 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.40s
2025-09-24 17:17:09 | Episode:   63 | Attempt: 1 | Size:   0.26MB | Score: 0.0002 | Analysis:   5.69s
2025-09-24 17:17:47 | Episode:   64 | Attempt: 1 | Size:   0.31MB | Score: 0.0002 | Analysis:   6.20s
2025-09-24 17:18:34 | Episode:   65 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.40s
2025-09-24 17:19:11 | Episode:   66 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.45s
2025-09-24 17:19:49 | Episode:   67 | Attempt: 1 | Size:   0.39MB | Score: 0.0005 | Analysis:   5.73s
2025-09-24 17:20:26 | Episode:   68 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.56s
2025-09-24 17:21:03 | Episode:   69 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.62s
2025-09-24 17:21:39 | Episode:   70 | Attempt: 1 | Size:   0.18MB | Score: 0.0001 | Analysis:   5.45s
2025-09-24 17:22:16 | Episode:   71 | Attempt: 1 | Size:   0.19MB | Score: 0.0001 | Analysis:   5.45s
2025-09-24 17:22:54 | Episode:   72 | Attempt: 1 | Size:   0.30MB | Score: 0.0003 | Analysis:   5.47s
2025-09-24 17:23:38 | Episode:   73 | Attempt: 1 | Size:   0.25MB | Score: 0.0002 | Analysis:   5.35s
2025-09-24 17:24:33 | Episode:   74 | Attempt: 1 | Size:   0.18MB | Score: 0.0001 | Analysis:   5.51s
2025-09-24 17:25:11 | Episode:   75 | Attempt: 1 | Size:   0.29MB | Score: 0.0002 | Analysis:   5.53s
2025-09-24 17:25:49 | Episode:   76 | Attempt: 1 | Size:   0.41MB | Score: 0.0007 | Analysis:   5.68s
2025-09-24 17:26:20 | Episode:   77 | Attempt: 1 | Size:   0.26MB | Score: 0.0001 | Analysis:   5.53s
2025-09-24 17:26:58 | Episode:   78 | Attempt: 1 | Size:   0.66MB | Score: 0.0011 | Analysis:   5.77s
2025-09-24 17:27:35 | Episode:   79 | Attempt: 1 | Size:   0.46MB | Score: 0.0007 | Analysis:   5.41s
2025-09-24 17:28:13 | Episode:   80 | Attempt: 1 | Size:   0.58MB | Score: 0.0008 | Analysis:   5.50s
2025-09-24 17:29:02 | Episode:   81 | Attempt: 1 | Size:   0.23MB | Score: 0.0002 | Analysis:   5.60s
2025-09-24 17:29:39 | Episode:   82 | Attempt: 1 | Size:   0.37MB | Score: 0.0007 | Analysis:   5.30s
2025-09-24 17:30:16 | Episode:   83 | Attempt: 1 | Size:   0.28MB | Score: 0.0002 | Analysis:   5.69s
2025-09-24 17:30:54 | Episode:   84 | Attempt: 1 | Size:   0.29MB | Score: 0.0002 | Analysis:   5.39s
2025-09-24 17:31:30 | Episode:   85 | Attempt: 1 | Size:   0.19MB | Score: 0.0001 | Analysis:   5.41s
2025-09-24 17:32:08 | Episode:   86 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.50s
2025-09-24 17:32:44 | Episode:   87 | Attempt: 1 | Size:   0.30MB | Score: 0.0002 | Analysis:   5.40s
2025-09-24 17:33:22 | Episode:   88 | Attempt: 1 | Size:   0.32MB | Score: 0.0002 | Analysis:   5.59s
2025-09-24 17:34:11 | Episode:   89 | Attempt: 1 | Size:   0.37MB | Score: 0.0004 | Analysis:   5.61s
2025-09-24 17:34:48 | Episode:   90 | Attempt: 1 | Size:   0.33MB | Score: 0.0004 | Analysis:   5.41s
2025-09-24 17:35:25 | Episode:   91 | Attempt: 1 | Size:   0.26MB | Score: 0.0002 | Analysis:   5.57s
2025-09-24 17:36:03 | Episode:   92 | Attempt: 1 | Size:   0.37MB | Score: 0.0003 | Analysis:   5.61s
2025-09-24 17:36:41 | Episode:   93 | Attempt: 1 | Size:   0.21MB | Score: 0.0001 | Analysis:   5.58s
2025-09-24 17:37:18 | Episode:   94 | Attempt: 1 | Size:   0.26MB | Score: 0.0002 | Analysis:   5.51s
2025-09-24 17:37:56 | Episode:   95 | Attempt: 1 | Size:   0.47MB | Score: 0.0007 | Analysis:   5.48s
2025-09-24 17:38:33 | Episode:   96 | Attempt: 1 | Size:   0.30MB | Score: 0.0002 | Analysis:   5.42s
2025-09-24 17:39:20 | Episode:   97 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.55s
2025-09-24 17:39:57 | Episode:   98 | Attempt: 1 | Size:   0.29MB | Score: 0.0002 | Analysis:   5.63s
2025-09-24 17:40:34 | Episode:   99 | Attempt: 1 | Size:   0.26MB | Score: 0.0001 | Analysis:   5.32s
2025-09-24 17:41:12 | Episode:  100 | Attempt: 1 | Size:   0.43MB | Score: 0.0005 | Analysis:   5.56s
2025-09-24 17:41:49 | Episode:  101 | Attempt: 1 | Size:   0.22MB | Score: 0.0001 | Analysis:   5.49s
2025-09-24 17:42:26 | Episode:  102 | Attempt: 1 | Size:   0.31MB | Score: 0.0003 | Analysis:   5.40s
2025-09-24 17:43:04 | Episode:  103 | Attempt: 1 | Size:   0.49MB | Score: 0.0006 | Analysis:   5.76s
2025-09-24 17:43:41 | Episode:  104 | Attempt: 1 | Size:   0.36MB | Score: 0.0003 | Analysis:   5.36s
2025-09-24 17:44:29 | Episode:  105 | Attempt: 1 | Size:   0.37MB | Score: 0.0004 | Analysis:   5.36s
2025-09-24 17:45:06 | Episode:  106 | Attempt: 1 | Size:   0.45MB | Score: 0.0008 | Analysis:   5.40s
2025-09-24 17:45:44 | Episode:  107 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.68s
2025-09-24 17:46:21 | Episode:  108 | Attempt: 1 | Size:   0.25MB | Score: 0.0002 | Analysis:   5.69s
2025-09-24 17:46:58 | Episode:  109 | Attempt: 1 | Size:   0.20MB | Score: 0.0001 | Analysis:   5.54s
2025-09-24 17:47:36 | Episode:  110 | Attempt: 1 | Size:   0.28MB | Score: 0.0003 | Analysis:   5.57s
2025-09-24 17:48:13 | Episode:  111 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.49s
2025-09-24 17:48:50 | Episode:  112 | Attempt: 1 | Size:   0.25MB | Score: 0.0001 | Analysis:   5.37s
2025-09-24 17:49:37 | Episode:  113 | Attempt: 1 | Size:   0.34MB | Score: 0.0003 | Analysis:   5.32s
2025-09-24 17:50:15 | Episode:  114 | Attempt: 1 | Size:   0.38MB | Score: 0.0004 | Analysis:   5.46s
2025-09-24 17:50:52 | Episode:  115 | Attempt: 1 | Size:   0.32MB | Score: 0.0003 | Analysis:   5.48s
2025-09-24 17:51:29 | Episode:  116 | Attempt: 1 | Size:   0.34MB | Score: 0.0004 | Analysis:   5.31s
2025-09-24 17:52:06 | Episode:  117 | Attempt: 1 | Size:   0.33MB | Score: 0.0003 | Analysis:   5.39s
2025-09-24 17:52:43 | Episode:  118 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.45s
2025-09-24 17:53:20 | Episode:  119 | Attempt: 1 | Size:   0.23MB | Score: 0.0001 | Analysis:   5.44s
2025-09-24 17:53:57 | Episode:  120 | Attempt: 1 | Size:   0.31MB | Score: 0.0003 | Analysis:   5.34s
2025-09-24 17:54:45 | Episode:  121 | Attempt: 1 | Size:   0.30MB | Score: 0.0003 | Analysis:   5.57s
2025-09-24 17:55:22 | Episode:  122 | Attempt: 1 | Size:   0.38MB | Score: 0.0005 | Analysis:   5.47s
2025-09-24 17:55:59 | Episode:  123 | Attempt: 1 | Size:   0.23MB | Score: 0.0001 | Analysis:   5.37s
2025-09-24 17:56:36 | Episode:  124 | Attempt: 1 | Size:   0.25MB | Score: 0.0002 | Analysis:   5.60s
2025-09-24 17:57:13 | Episode:  125 | Attempt: 1 | Size:   0.30MB | Score: 0.0003 | Analysis:   5.40s
2025-09-24 17:57:50 | Episode:  126 | Attempt: 1 | Size:   0.20MB | Score: 0.0001 | Analysis:   5.47s
2025-09-24 17:58:27 | Episode:  127 | Attempt: 1 | Size:   0.36MB | Score: 0.0003 | Analysis:   5.49s
2025-09-24 17:59:04 | Episode:  128 | Attempt: 1 | Size:   0.32MB | Score: 0.0003 | Analysis:   5.32s
2025-09-24 17:59:48 | Episode:  129 | Attempt: 1 | Size:   0.71MB | Score: 0.0017 | Analysis:   5.56s
2025-09-24 18:00:43 | Episode:  130 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.44s
2025-09-24 18:01:20 | Episode:  131 | Attempt: 1 | Size:   0.26MB | Score: 0.0002 | Analysis:   5.44s
2025-09-24 18:01:57 | Episode:  132 | Attempt: 1 | Size:   0.23MB | Score: 0.0001 | Analysis:   5.37s
2025-09-24 18:02:29 | Episode:  133 | Attempt: 1 | Size:   0.66MB | Score: 0.0008 | Analysis:   5.59s
2025-09-24 18:03:06 | Episode:  134 | Attempt: 1 | Size:   0.48MB | Score: 0.0007 | Analysis:   5.34s
2025-09-24 18:03:43 | Episode:  135 | Attempt: 1 | Size:   0.19MB | Score: 0.0001 | Analysis:   5.58s
2025-09-24 18:04:20 | Episode:  136 | Attempt: 1 | Size:   0.36MB | Score: 0.0003 | Analysis:   5.55s
2025-09-24 18:05:09 | Episode:  137 | Attempt: 1 | Size:   0.50MB | Score: 0.0010 | Analysis:   5.39s
2025-09-24 18:05:47 | Episode:  138 | Attempt: 1 | Size:   0.39MB | Score: 0.0004 | Analysis:   5.67s
2025-09-24 18:06:24 | Episode:  139 | Attempt: 1 | Size:   0.29MB | Score: 0.0002 | Analysis:   5.35s
2025-09-24 18:07:02 | Episode:  140 | Attempt: 1 | Size:   0.64MB | Score: 0.0019 | Analysis:   5.60s
2025-09-24 18:07:39 | Episode:  141 | Attempt: 1 | Size:   0.32MB | Score: 0.0003 | Analysis:   5.50s
2025-09-24 18:08:17 | Episode:  142 | Attempt: 1 | Size:   0.29MB | Score: 0.0002 | Analysis:   5.31s
2025-09-24 18:08:54 | Episode:  143 | Attempt: 1 | Size:   0.41MB | Score: 0.0004 | Analysis:   5.45s
2025-09-24 18:09:31 | Episode:  144 | Attempt: 1 | Size:   0.30MB | Score: 0.0001 | Analysis:   5.41s
2025-09-24 18:10:18 | Episode:  145 | Attempt: 1 | Size:   0.38MB | Score: 0.0004 | Analysis:   5.43s
2025-09-24 18:10:56 | Episode:  146 | Attempt: 1 | Size:   0.33MB | Score: 0.0003 | Analysis:   5.37s
2025-09-24 18:11:32 | Episode:  147 | Attempt: 1 | Size:   0.19MB | Score: 0.0001 | Analysis:   5.32s
2025-09-24 18:12:10 | Episode:  148 | Attempt: 1 | Size:   0.59MB | Score: 0.0013 | Analysis:   5.28s
2025-09-24 18:12:47 | Episode:  149 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.53s
2025-09-24 18:13:24 | Episode:  150 | Attempt: 1 | Size:   0.31MB | Score: 0.0004 | Analysis:   5.30s
2025-09-24 18:14:01 | Episode:  151 | Attempt: 1 | Size:   0.29MB | Score: 0.0002 | Analysis:   5.41s
2025-09-24 18:14:39 | Episode:  152 | Attempt: 1 | Size:   0.28MB | Score: 0.0002 | Analysis:   5.42s
2025-09-24 18:15:26 | Episode:  153 | Attempt: 1 | Size:   0.28MB | Score: 0.0002 | Analysis:   5.38s
2025-09-24 18:16:03 | Episode:  154 | Attempt: 1 | Size:   0.26MB | Score: 0.0001 | Analysis:   5.40s
2025-09-24 18:16:40 | Episode:  155 | Attempt: 1 | Size:   0.34MB | Score: 0.0003 | Analysis:   5.51s
2025-09-24 18:17:17 | Episode:  156 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.44s
2025-09-24 18:17:54 | Episode:  157 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.49s
2025-09-24 18:18:32 | Episode:  158 | Attempt: 1 | Size:   0.62MB | Score: 0.0007 | Analysis:   5.32s
2025-09-24 18:19:10 | Episode:  159 | Attempt: 1 | Size:   0.53MB | Score: 0.0008 | Analysis:   5.31s
2025-09-24 18:19:47 | Episode:  160 | Attempt: 1 | Size:   0.24MB | Score: 0.0001 | Analysis:   5.75s
2025-09-24 18:20:32 | Episode:  161 | Attempt: 1 | Size:   0.26MB | Score: 0.0001 | Analysis:   5.42s
2025-09-24 18:21:09 | Episode:  162 | Attempt: 1 | Size:   0.35MB | Score: 0.0003 | Analysis:   5.48s
2025-09-24 18:21:46 | Episode:  163 | Attempt: 1 | Size:   0.27MB | Score: 0.0002 | Analysis:   5.66s
